Batch 752/1496, Batch Loss: 0.4133, Batch Accuracy: 0.9000
Batch 753/1496, Batch Loss: 0.2678, Batch Accuracy: 0.8000
Batch 754/1496, Batch Loss: 0.3049, Batch Accuracy: 0.9000
Batch 756/1496, Batch Loss: 0.3604, Batch Accuracy: 0.8000
Batch 755/1496, Batch Loss: 0.0563, Batch Accuracy: 1.0000
Batch 757/1496, Batch Loss: 0.0005, Batch Accuracy: 1.0000
Batch 759/1496, Batch Loss: 0.7511, Batch Accuracy: 0.9000
Batch 758/1496, Batch Loss: 0.0563, Batch Accuracy: 1.0000
Batch 760/1496, Batch Loss: 0.1127, Batch Accuracy: 0.9000
Batch 761/1496, Batch Loss: 0.0097, Batch Accuracy: 1.0000
Batch 763/1496, Batch Loss: 0.4298, Batch Accuracy: 0.9000
Batch 762/1496, Batch Loss: 0.4572, Batch Accuracy: 0.9000
Batch 764/1496, Batch Loss: 0.2470, Batch Accuracy: 0.9000
Batch 765/1496, Batch Loss: 0.0313, Batch Accuracy: 1.0000
Batch 768/1496, Batch Loss: 0.0011, Batch Accuracy: 1.0000
Batch 766/1496, Batch Loss: 0.0041, Batch Accuracy: 1.0000
Batch 767/1496, Batch Loss: 0.5610, Batch Accuracy: 0.8000
Batch 769/1496, Batch Loss: 0.1065, Batch Accuracy: 0.9000
Batch 771/1496, Batch Loss: 0.0166, Batch Accuracy: 1.0000
Batch 770/1496, Batch Loss: 0.0012, Batch Accuracy: 1.0000
Batch 772/1496, Batch Loss: 0.3701, Batch Accuracy: 0.9000
Batch 774/1496, Batch Loss: 0.0026, Batch Accuracy: 1.0000
Batch 773/1496, Batch Loss: 0.1741, Batch Accuracy: 0.9000
Batch 775/1496, Batch Loss: 0.6206, Batch Accuracy: 0.9000
Batch 776/1496, Batch Loss: 0.0025, Batch Accuracy: 1.0000
Batch 779/1496, Batch Loss: 0.0040, Batch Accuracy: 1.0000
Batch 777/1496, Batch Loss: 0.0901, Batch Accuracy: 0.9000
Batch 778/1496, Batch Loss: 0.1807, Batch Accuracy: 0.9000
Batch 780/1496, Batch Loss: 0.1079, Batch Accuracy: 0.9000
Batch 781/1496, Batch Loss: 0.3879, Batch Accuracy: 0.9000
Batch 782/1496, Batch Loss: 0.0004, Batch Accuracy: 1.0000
Batch 784/1496, Batch Loss: 0.0007, Batch Accuracy: 1.0000
Batch 783/1496, Batch Loss: 0.6953, Batch Accuracy: 0.9000
Batch 785/1496, Batch Loss: 0.4172, Batch Accuracy: 0.9000
Batch 786/1496, Batch Loss: 0.0242, Batch Accuracy: 1.0000
Batch 787/1496, Batch Loss: 1.1684, Batch Accuracy: 0.7000
Batch 788/1496, Batch Loss: 0.0025, Batch Accuracy: 1.0000
Batch 789/1496, Batch Loss: 0.0177, Batch Accuracy: 1.0000
Batch 791/1496, Batch Loss: 0.0006, Batch Accuracy: 1.0000
Batch 790/1496, Batch Loss: 0.0060, Batch Accuracy: 1.0000
Batch 792/1496, Batch Loss: 0.7236, Batch Accuracy: 0.9000
Batch 793/1496, Batch Loss: 0.0679, Batch Accuracy: 1.0000
Batch 795/1496, Batch Loss: 0.2753, Batch Accuracy: 0.9000
Batch 794/1496, Batch Loss: 0.0116, Batch Accuracy: 1.0000
Batch 796/1496, Batch Loss: 0.3558, Batch Accuracy: 0.8000
Batch 797/1496, Batch Loss: 0.0014, Batch Accuracy: 1.0000
Batch 798/1496, Batch Loss: 0.3302, Batch Accuracy: 0.9000
Batch 800/1496, Batch Loss: 0.1259, Batch Accuracy: 0.9000
Batch 799/1496, Batch Loss: 0.5368, Batch Accuracy: 0.9000
Batch 802/1496, Batch Loss: 0.0019, Batch Accuracy: 1.0000
Batch 801/1496, Batch Loss: 0.0876, Batch Accuracy: 1.0000
Batch 803/1496, Batch Loss: 0.0512, Batch Accuracy: 1.0000
Batch 804/1496, Batch Loss: 0.0046, Batch Accuracy: 1.0000
Batch 805/1496, Batch Loss: 0.4775, Batch Accuracy: 0.9000
Batch 806/1496, Batch Loss: 0.9384, Batch Accuracy: 0.8000
Batch 807/1496, Batch Loss: 0.0114, Batch Accuracy: 1.0000
Batch 808/1496, Batch Loss: 0.0010, Batch Accuracy: 1.0000
Batch 809/1496, Batch Loss: 0.9736, Batch Accuracy: 0.8000
Batch 811/1496, Batch Loss: 1.1089, Batch Accuracy: 0.8000
Batch 810/1496, Batch Loss: 0.5200, Batch Accuracy: 0.9000
Batch 812/1496, Batch Loss: 0.2792, Batch Accuracy: 0.9000
Batch 814/1496, Batch Loss: 0.1908, Batch Accuracy: 0.9000
Batch 813/1496, Batch Loss: 0.0577, Batch Accuracy: 1.0000
Batch 815/1496, Batch Loss: 0.0143, Batch Accuracy: 1.0000
Batch 816/1496, Batch Loss: 0.6834, Batch Accuracy: 0.8000
Batch 817/1496, Batch Loss: 0.0595, Batch Accuracy: 1.0000
Batch 818/1496, Batch Loss: 0.0072, Batch Accuracy: 1.0000
Batch 820/1496, Batch Loss: 0.3046, Batch Accuracy: 0.9000
Batch 819/1496, Batch Loss: 0.4137, Batch Accuracy: 0.8000
Batch 821/1496, Batch Loss: 0.0082, Batch Accuracy: 1.0000
Batch 823/1496, Batch Loss: 0.0985, Batch Accuracy: 0.9000
Batch 822/1496, Batch Loss: 0.1575, Batch Accuracy: 0.9000
Batch 824/1496, Batch Loss: 0.1140, Batch Accuracy: 0.9000
Batch 825/1496, Batch Loss: 0.0009, Batch Accuracy: 1.0000
Batch 827/1496, Batch Loss: 0.0531, Batch Accuracy: 1.0000
Batch 826/1496, Batch Loss: 0.5570, Batch Accuracy: 0.9000
Batch 828/1496, Batch Loss: 0.1042, Batch Accuracy: 0.9000
Batch 831/1496, Batch Loss: 0.0012, Batch Accuracy: 1.0000
Batch 830/1496, Batch Loss: 0.6177, Batch Accuracy: 0.8000
Batch 829/1496, Batch Loss: 0.0271, Batch Accuracy: 1.0000
Batch 832/1496, Batch Loss: 0.0252, Batch Accuracy: 1.0000
Batch 833/1496, Batch Loss: 0.0007, Batch Accuracy: 1.0000
Batch 835/1496, Batch Loss: 0.0153, Batch Accuracy: 1.0000
Batch 836/1496, Batch Loss: 0.0153, Batch Accuracy: 1.0000
Batch 834/1496, Batch Loss: 0.8644, Batch Accuracy: 0.8000
Batch 838/1496, Batch Loss: 1.3602, Batch Accuracy: 0.7000
Batch 837/1496, Batch Loss: 0.1816, Batch Accuracy: 0.9000
Batch 839/1496, Batch Loss: 0.0038, Batch Accuracy: 1.0000
Batch 840/1496, Batch Loss: 0.0010, Batch Accuracy: 1.0000
Batch 841/1496, Batch Loss: 0.0008, Batch Accuracy: 1.0000
Batch 842/1496, Batch Loss: 0.0505, Batch Accuracy: 1.0000
Batch 843/1496, Batch Loss: 1.0492, Batch Accuracy: 0.8000
Batch 844/1496, Batch Loss: 0.0866, Batch Accuracy: 0.9000
Batch 845/1496, Batch Loss: 0.0391, Batch Accuracy: 1.0000
Batch 847/1496, Batch Loss: 0.1570, Batch Accuracy: 0.9000
Batch 846/1496, Batch Loss: 0.2141, Batch Accuracy: 0.9000
